"Time","T0129","","T0129","","T0129","","T0129","","T0129","","T0129","","T0129","","T0129","","T0129","","T0129",""
"and","10.00","","10.50","","400.00","","400.55","","400.56","","430.00","","500.00","","515.00","","550.00","","750.00",""
"Date","Pioggia (mm)","","Pioggia (mm)","","Temp. aria (°C)","","Temp. aria (°C)","","Temp. aria (°C)","","Umid.relat. aria (%)","","Dir. Vento (°)","","Vel. Vento (m/s)","","Pressione atm. (hPa)","","Rad.Sol.Tot. (kJ/m2)",""
"","Total","Qual","Total","Qual","Mean","Qual","Min","Qual","Max","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Total","Qual"
00:00:00 01/03/2025,        92.6,      1,        92.6,      1,        10.0,      1,         0.4,      1,        22.9,      1,        64.6,      1,           5,      1,         1.6,      1,       978.1,      1,    413904.5,      1
00:00:00 01/04/2025,       115.6,      1,       115.6,      1,        14.0,      1,         3.5,      1,        27.5,      1,        65.3,      1,          25,      1,         1.9,      1,       978.2,      1,    491983.5,      1
00:00:00 01/05/2025,       103.0,      1,       103.0,      1,        16.9,      1,         8.8,      1,        29.6,    140,        65.4,      1,          11,      1,         2.0,      1,       976.9,      1,    642323.6,      1
00:00:00 01/06/2025,        52.0,      1,        41.6,      1,        24.4,      1,        15.5,      1,        36.5,    140,        60.7,      1,          35,      1,         2.1,      1,       980.4,      1,    713614.7,      1
00:00:00 01/07/2025,       141.0,      1,       151.3,      1,        22.1,      1,        10.5,      1,        35.5,    140,        65.5,      1,           7,      1,         1.9,      1,       976.2,      1,    636641.0,      1
00:00:00 01/08/2025,       156.0,      1,       156.0,      1,        22.7,      1,        12.8,      1,        35.3,      1,        67.7,      1,          31,      1,         2.0,      1,       978.0,      1,    607927.6,      1
00:00:00 01/09/2025,       128.2,      1,       128.2,      1,        18.1,      1,         8.6,      1,        28.9,      1,        77.2,      1,          12,      1,         1.6,      1,       980.2,      1,    427553.3,      1
00:00:00 01/10/2025,        53.8,      1,        53.9,      1,        12.4,      1,         3.6,      1,        23.0,      1,        75.1,      1,          18,      1,         1.5,      1,       979.2,      1,    349906.6,      1
00:00:00 01/11/2025,       105.2,      1,       105.1,      1,         6.6,      1,        -2.7,      1,        17.1,      1,        72.8,      1,           4,      1,         1.5,      1,       978.2,      1,    207947.8,      1
00:00:00 01/12/2025,        14.2,      1,        14.2,      1,         4.5,      1,        -4.9,      1,        12.0,      1,        79.6,      1,           2,      1,         1.3,      1,       982.9,      1,    148406.8,      1
00:00:00 01/01/2026,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/02/2026,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255

