"Time","T0373","","T0373","","T0373","","T0373","","T0373","","T0373","","T0373","","T0373","","T0373","","T0373",""
"and","10.00","","10.50","","400.00","","400.55","","400.56","","430.00","","500.00","","515.00","","550.00","","750.00",""
"Date","Pioggia (mm)","","Pioggia (mm)","","Temp. aria (°C)","","Temp. aria (°C)","","Temp. aria (°C)","","Umid.relat. aria (%)","","Dir. Vento (°)","","Vel. Vento (m/s)","","Pressione atm. (hPa)","","Rad.Sol.Tot. (kJ/m2)",""
"","Total","Qual","Total","Qual","Mean","Qual","Min","Qual","Max","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Mean","Qual","Total","Qual"
00:00:00 01/12/2024,        40.2,    145,"",    255,        -0.3,    145,"",    255,"",    255,        62.5,    145,         356,    145,         0.2,    145,       821.5,    145,    100948.4,    145
00:00:00 01/01/2025,       193.8,    145,"",    255,        -1.7,    145,"",    255,"",    255,        73.4,    145,         355,    145,         0.2,    145,       819.1,    145,    106517.3,    145
00:00:00 01/02/2025,        51.2,    145,"",    255,        -1.5,    145,"",    255,"",    255,        74.4,    145,         360,    145,         0.0,    145,       822.4,    145,    195374.7,    145
00:00:00 01/03/2025,       132.8,    145,"",    255,         0.5,    145,"",    255,"",    255,        74.9,    145,           1,    145,         0.1,    145,       817.5,    145,    341763.1,    145
00:00:00 01/04/2025,       185.0,    145,"",    255,         4.1,    145,"",    255,"",    255,        79.0,    145,           1,    145,         0.1,    145,       819.7,    145,    445992.7,    145
00:00:00 01/05/2025,       170.4,    145,"",    255,         7.1,    145,"",    255,"",    255,        80.3,    145,           4,    145,         0.1,    145,       820.0,    145,    534921.2,    145
00:00:00 01/06/2025,        64.0,    145,"",    255,        14.7,    145,"",    255,"",    255,        76.6,    145,           7,    145,         0.5,    145,       827.2,    145,    658552.5,    145
00:00:00 01/07/2025,       284.0,    145,"",    255,        12.6,    145,"",    255,"",    255,        80.2,    145,         352,    145,         1.5,    145,       822.7,    145,    527987.9,    145
00:00:00 01/08/2025,       192.0,    145,"",    255,        13.2,    145,"",    255,"",    255,        84.8,    145,         342,    145,         1.5,    145,       824.6,    145,    493599.4,    145
00:00:00 01/09/2025,       173.8,    145,"",    255,         9.5,    145,"",    255,"",    255,        85.5,    145,         336,    145,         1.4,    145,       824.3,    145,    320037.7,    145
00:00:00 01/10/2025,        98.6,    145,"",    255,         5.2,    145,"",    255,"",    255,        81.1,    145,         344,    145,         1.4,    145,       820.9,    145,    268424.6,    145
00:00:00 01/11/2025,       115.0,    145,"",    255,         1.3,    145,"",    255,"",    255,        72.3,    145,         346,    145,         1.5,    145,       817.3,    145,    122842.2,    145
00:00:00 01/12/2025,        39.4,    145,"",    255,         0.6,    145,"",    255,"",    255,        73.7,    145,         348,    145,         1.5,    145,       820.8,    145,    102264.1,    145
00:00:00 01/01/2026,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255
00:00:00 01/02/2026,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255,"",    255

